student_id,gender,grade_level,study_hours,attendance_pct,exam_score
1,F,11,31.1,78.0,84.2
2,F,11,5.9,50.0,58.3
3,F,11,36.5,51.8,81.2
4,M,9,20.7,99.5,97.5
5,F,10,13.5,89.1,65.7
6,M,11,6.3,96.9,64.3
7,F,12,0.5,95.1,66.3
8,F,11,9.9,51.0,68.7
9,F,11,36.6,89.6,100.0
10,F,9,31.9,72.6,93.9
11,F,10,38.8,89.5,100.0
12,M,11,4.0,50.3,45.8
13,F,12,23.7,64.4,75.7
14,F,10,10.3,87.6,64.7
15,M,9,21.7,89.7,77.6
16,M,10,12.8,81.0,74.8
17,M,9,11.3,65.1,58.5
18,F,11,23.0,65.5,80.1
19,F,11,7.3,98.3,64.6
20,F,12,18.8,72.0,77.7
21,F,12,26.0,72.4,81.0
22,F,9,5.1,77.6,71.2
23,F,9,37.2,70.5,97.5
24,M,10,20.2,77.6,86.8
25,M,9,32.8,71.6,86.6
26,M,12,26.2,91.3,91.1
27,F,9,28.4,95.5,88.8
28,M,9,28.6,96.6,92.8
29,M,12,35.0,78.2,94.3
30,M,12,24.5,72.1,77.8
31,F,9,11.1,85.3,64.8
32,F,10,4.0,91.9,58.1
33,F,11,24.3,78.1,70.0
34,M,11,2.7,85.0,56.4
35,F,12,9.7,87.5,75.1
36,F,10,2.4,83.8,52.4
37,F,9,22.0,87.3,76.5
38,M,10,6.4,60.4,68.9
39,M,11,24.4,74.9,79.2
40,F,11,31.6,79.4,94.5
41,M,11,32.9,50.1,87.6
42,F,12,12.4,92.8,80.1
43,F,12,22.0,80.5,73.2
44,M,10,22.5,56.5,73.1
45,F,10,18.9,90.8,72.9
46,M,11,26.2,85.9,100.0
47,F,10,8.4,87.9,60.4
48,M,10,39.2,69.6,91.2
49,M,9,3.9,92.7,60.5
50,M,10,33.2,70.7,82.3
51,M,11,23.8,78.5,91.8
52,F,12,9.8,50.0,72.8
53,M,12,29.8,82.2,88.7
54,M,10,3.4,85.9,55.9
55,M,9,31.0,78.4,78.1
56,M,9,23.6,74.8,80.7
57,M,10,4.4,90.5,64.6
58,F,11,3.2,84.1,59.0
59,F,12,30.0,63.9,86.7
60,M,12,11.7,98.0,79.5
61,F,9,35.6,85.4,100.0
62,F,11,30.5,99.4,96.4
63,M,10,27.9,98.6,88.6
64,F,9,11.1,95.9,79.8
65,M,11,28.4,87.8,92.0
66,M,9,37.9,80.5,100.0
67,M,10,3.7,58.6,59.3
68,M,11,13.0,77.2,62.8
69,F,10,9.4,88.3,62.6
70,F,11,15.7,76.0,69.3
71,M,10,29.7,93.4,89.0
72,F,12,19.0,55.5,74.9
73,F,9,22.8,69.0,81.3
74,F,9,12.6,75.3,76.8
75,F,11,5.7,71.6,63.7
76,F,10,10.7,55.4,62.4
77,M,11,34.4,57.7,95.2
