order_id,order_date,region,category,units,unit_price,revenue
381,2023-01-02,East,Clothing,6,430.48,2582.88
773,2023-01-02,East,Electronics,9,156.21,1405.89
104,2023-01-03,West,Electronics,3,320.92,962.76
465,2023-01-03,North,Clothing,2,214.71,429.42
575,2023-01-03,West,Electronics,1,179.21,179.21
707,2023-01-03,West,Furniture,17,263.25,4475.25
303,2023-01-04,West,Clothing,5,425.15,2125.75
790,2023-01-05,North,Groceries,16,40.57,649.12
410,2023-01-06,West,Clothing,4,345.33,1381.32
478,2023-01-07,West,Furniture,18,97.31,21018.96
415,2023-01-07,North,Clothing,4,210.11,840.44
300,2023-01-08,South,Furniture,3,32.19,96.57
233,2023-01-08,East,Clothing,18,228.04,4104.72
540,2023-01-08,South,Furniture,4,422.91,1691.64
272,2023-01-09,North,Electronics,17,222.71,3786.07
170,2023-01-09,North,Electronics,18,414.49,7460.82
369,2023-01-09,West,Groceries,10,238.87,2388.7
429,2023-01-10,North,Clothing,12,267.57,3210.84
454,2023-01-10,West,Groceries,2,422.11,844.22
138,2023-01-12,North,Electronics,10,111.88,1118.8
385,2023-01-12,South,Clothing,18,311.24,5602.32
787,2023-01-12,West,Groceries,15,493.66,7404.9
663,2023-01-13,North,Electronics,8,231.9,1855.2
147,2023-01-13,West,Groceries,16,373.28,5972.48
117,2023-01-14,East,Clothing,14,171.74,2404.36
328,2023-01-14,East,Electronics,1,357.15,357.15
250,2023-01-16,North,Electronics,7,381.02,2667.14
562,2023-01-16,North,Electronics,9,136.28,1226.52
56,2023-01-16,West,Electronics,10,204.01,2040.1
352,2023-01-17,East,Clothing,2,10.97,21.94
397,2023-01-17,East,Clothing,17,146.14,2484.38
574,2023-01-18,South,Groceries,19,80.14,1522.66
584,2023-01-19,West,Clothing,16,75.34,1205.44
699,2023-01-19,South,Electronics,4,7.4,29.6
546,2023-01-20,West,Furniture,3,464.97,1394.91
542,2023-01-21,North,Groceries,18,220.0,3960.0
150,2023-01-22,South,Clothing,3,227.52,682.56
619,2023-01-23,West,Furniture,12,474.01,5688.12
279,2023-01-24,South,Clothing,12,275.91,3310.92
36,2023-01-24,West,Clothing,11,208.86,2297.46
518,2023-01-25,East,Clothing,18,24.58,442.44
387,2023-01-25,North,Groceries,6,132.66,795.96
45,2023-01-25,North,Electronics,12,96.76,1161.12
659,2023-01-27,South,Electronics,8,34.07,272.56
69,2023-01-28,South,Clothing,1,30.02,30.02
127,2023-01-29,East,Groceries,9,177.4,1596.6
217,2023-01-29,South,Electronics,19,381.41,7246.79
439,2023-01-30,South,Groceries,5,302.68,1513.4
431,2023-01-31,West,Clothing,18,15.81,284.58
246,2023-01-31,North,Clothing,1,315.19,315.19
678,2023-01-31,South,Electronics,16,112.05,1792.8
280,2023-01-31,West,Electronics,8,282.58,2260.64
7,2023-02-01,East,Electronics,8,482.44,3859.52
753,2023-02-01,East,Clothing,4,121.18,484.72
196,2023-02-01,East,Electronics,4,151.03,604.12
1,2023-02-02,North,Furniture,1,457.08,457.08
695,2023-02-02,South,Clothing,18,153.07,2755.26
172,2023-02-02,South,Furniture,18,388.34,6990.12
728,2023-02-02,North,Electronics,18,103.07,1855.26
133,2023-02-03,South,Clothing,18,376.1,6769.8
33,2023-02-03,South,Electronics,4,322.91,1291.64
359,2023-02-03,South,Clothing,7,425.65,2979.55
581,2023-02-04,West,Clothing,14,393.44,5508.16
376,2023-02-04,South,Electronics,6,113.69,682.14
