season,team,games,wins,draws,losses,goals_for,goals_against,points
2021,Team_A,38,23,7,8,82,47,76
2021,Team_B,38,25,2,11,37,56,77
2021,Team_C,38,18,14,6,40,81,68
2021,Team_D,38,13,13,12,85,57,52
2021,Team_E,38,22,14,2,88,54,80
2021,Team_F,38,15,4,19,57,84,49
2021,Team_G,38,17,7,14,27,47,58
2021,Team_H,38,10,27,1,56,29,57
2022,Team_A,38,6,27,5,85,73,45
2022,Team_B,38,8,2,28,33,72,26
2022,Team_C,38,24,11,3,26,30,83
2022,Team_D,38,27,10,1,70,27,91
2022,Team_E,38,6,1,31,68,79,19
2022,Team_F,38,20,4,14,73,24,64
2022,Team_G,38,25,11,2,70,81,86
2022,Team_H,38,19,8,11,42,84,65
2023,Team_A,38,22,3,13,86,24,69
2023,Team_B,38,19,3,16,66,48,60
2023,Team_C,38,15,15,8,72,46,60
2023,Team_D,38,29,4,5,31,20,91
2023,Team_E,38,10,19,9,57,43,49
2023,Team_F,38,17,17,4,60,24,68
2023,Team_G,38,6,15,17,48,79,33
2023,Team_H,38,19,14,5,60,44,71
